key_resp.keys,key_resp.corr,tilt,,Hit,Miss,False Alarm,Correct Rejection,,,,,
down,1,4,,,,,1,,,,,
down,1,-5,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,1,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,0,1,,,,1,,,,,,
down,1,-5,,,,,1,,,,,
down,0,0,,,1,,,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,-5,,,,,1,,,,,
down,0,0,,,1,,,,,,,
up,0,1,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-5,,,,,1,,,,,
up,0,-2,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-3,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,3,,,,,1,,,,,
down,1,-5,,,,,1,,,,,
down,1,-5,,,,,1,,,,,
down,1,3,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,,,1,,,,,
down,1,2,,,,,1,,,,,
down,1,-5,,,,,1,,,,,
down,1,-5,,,,,1,,,,,
down,1,-5,,,,,1,,,,,
up,0,1,,,,1,,,,,,
up,0,1,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-2,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,1,,,,,1,,,,,
down,0,0,,,1,,,,,,,
down,1,4,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,3,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,3,,,,,1,,,,,
up,0,-2,,,,1,,,,,,
up,1,0,,1,,,,,,,,
down,1,-5,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,-3,,,,,1,,,,,
up,0,1,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,0,2,,,,1,,,,,,
down,1,-3,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,-4,,,,,1,,,,,
down,1,-4,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,2,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,,,1,,,,,
down,1,-5,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,0,-3,,,,1,,,,,,
up,1,0,,1,,,,,,,,
down,1,-2,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,,,1,,,,,
up,0,1,,,,1,,,,,,
down,1,4,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,1,,,,,1,,,,,
down,1,2,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,-3,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,0,2,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,0,1,,,,1,,,,,,
up,1,0,,1,,,,,,,,
down,1,2,,,,,1,,,,,
up,1,0,,1,,,,,Hit,Miss,False Alarm,Correct Rejection
up,0,-2,,,,1,,,45,3,14,38
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,0,-3,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
,,,SUM,45,3,14,38,,,,,
,,,,,,,,,,,,
Proportion of hit,,0.9375,,,,,,,,,,
Proportion of FA,,0.269230769,,,,,,,,,,
,,,,,,,,,,,,
D prime,2.149261649,,,,,,,,,,,
Criterion,-1.841691097,,,,,,,,,,,
