key_resp.corr,key_resp.rt,,,,Sequence,Random,,,
1,1.2854063,,,,1.285406299+F2:F19398315,4.1421092,,Mean of sequence,0.578015406
1,1.2976439,,,,1.2976439,1.658749,,Mean of random,1.380770806
1,0.6327273,,,,0.6327273,1.6113919,,Mean difference,0.8027554
1,1.2125092,,,,1.2125092,0.8814613,,,
1,0.5900758,,,,0.5900758,1.6589118,,,
1,0.310385,,,,0.310385,0.7442094,,,
1,0.2607247,,,,0.2607247,1.779003,,,
1,0.2905762,,,,0.2905762,0.6693446,,,
1,0.4862772,,,,0.4862772,0.8261659,,,
1,0.2783045,,,,0.2783045,0.7677746,,,
1,0.3979194,,,,0.3979194,1.67989,,,
1,0.2778135,,,,0.2778135,1.4453471,,,
1,0.3843799,,,,0.3843799,0.7920082,,,
1,0.2784225,,,,0.2784225,0.690192,,,
1,0.475517,,,,0.475517,0.7147995,,,
1,0.4906777,,,,0.4906777,0.7412015,,,
1,0.8806872,,,,0.8806872,0.5992968,,,
1,0.6193667,,,,0.6193667,1.3031861,,,
1,0.573417,,,,0.573417,1.0587853,,,
1,0.4910373,,,,0.4910373,1.4758673,,,
1,0.3347859,,,,0.3347859,1.3313702,,,
1,0.3956429,,,,0.3956429,0.5697683,,,
1,0.3926092,,,,0.3926092,0.8525354,,,
1,0.2902202,,,,0.2902202,1.5258309,,,
1,0.7312117,,,,0.7312117,0.826557,,,
1,0.3933856,,,,0.3933856,0.9710283,,,
1,0.889707,,,,0.889707,0.8574787,,,
1,0.9955851,,,,0.9955851,0.7690641,,,
1,0.6122771,,,,0.6122771,3.4303162,,,
1,0.3290038,,,,0.3290038,0.6948037,,,
1,0.5136722,,,,0.5136722,1.0097228,,,
1,0.2869021,,,,0.2869021,0.7473755,,,
1,0.7119305,,,,0.7119305,0.7707142,,,
1,0.2960485,,,,0.2960485,0.9038669,,,
1,0.3892322,,,,0.3892322,1.4748312,,,
1,0.3220025,,,,0.3220025,1.1941411,,,
1,0.6959545,,,,0.6959545,1.0457864,,,
1,0.5231315,,,,0.5231315,3.1560561,,,
1,0.3274467,,,,0.3274467,0.7626978,,,
1,0.3995812,,,,0.3995812,1.3670487,,,
1,0.4512279,,,,0.4512279,0.9862478,,,
1,0.3301079,,,,0.3301079,1.0575042,,,
1,0.3939056,,,,0.3939056,0.9277552,,,
1,0.4153677,,,,0.4153677,1.5833544,,,
1,0.6141275,,,,0.6141275,1.7359698,,,
1,1.0338566,,,,1.0338566,1.666407,,,
1,0.4466759,,,,0.4466759,0.9672487,,,
1,0.1408897,,,,0.1408897,1.6668308,,,
1,1.2174306,,,,1.2174306,1.5812285,,,
1,0.5084359,,,,0.5084359,1.0604458,,,
1,0.3632525,,,,0.3632525,0.8568471,,,
1,0.3251691,,,,0.3251691,1.7317216,,,
1,1.2049271,,,,1.2049271,0.9384415,,,
1,0.9898831,,,,0.9898831,1.9304684,,,
1,0.3961746,,,,0.3961746,0.9130282,,,
1,1.2238273,,,,1.2238273,0.8909739,,,
1,0.3666292,,,,0.3666292,1.9173706,,,
1,0.3870304,,,,0.3870304,1.1913476,,,
1,0.3353897,,,,0.3353897,1.2484719,,,
1,0.2920096,,,,0.2920096,0.9639225,,,
1,0.4234704,,,,0.4234704,1.0838629,,,
1,0.3410527,,,,0.3410527,1.0528248,,,
1,0.3478664,,,,0.3478664,2.8098851,,,
1,0.3183611,,,,0.3183611,0.9080845,,,
1,1.0213193,,,,1.0213193,1.2432493,,,
1,0.5292517,,,,0.5292517,0.8801265,,,
1,0.3830327,,,,0.3830327,1.3646672,,,
1,0.3099764,,,,0.3099764,1.1333782,,,
1,0.8839063,,,,0.8839063,1.036393,,,
1,0.400591,,,,0.400591,1.3186875,,,
1,0.2715656,,,,0.2715656,0.9664069,,,
1,0.2644628,,,,0.2644628,2.9138471,,,
1,0.4815139,,,,0.4815139,0.8388031,,,
1,0.6936994,,,,0.6936994,0.8894307,,,
1,0.3210236,,,,0.3210236,3.4423716,,,
1,0.3221717,,,,0.3221717,1.9396366,,,
1,0.8042039,,,,0.8042039,1.3742197,,,
1,0.6005118,,,,0.6005118,0.9615631,,,
1,0.6450512,,,,0.6450512,0.8076953,,,
1,0.3366273,,,,0.3366273,6.4266359,,,
1,0.7165027,,,,0.7165027,1.977452,,,
1,0.4263644,,,,0.4263644,2.0075146,,,
1,0.2138794,,,,0.2138794,2.2439208,,,
1,0.3296578,,,,0.3296578,0.8317577,,,
1,0.6945175,,,,0.6945175,1.7389957,,,
1,0.1796941,,,,0.1796941,0.8800764,,,
1,0.3995503,,,,0.3995503,1.1789869,,,
1,0.3333035,,,,0.3333035,1.8684671,,,
1,0.7399331,,,,0.7399331,0.9154039,,,
1,0.7597638,,,,0.7597638,1.0195813,,,
1,1.2330054,,,,1.2330054,1.1575529,,,
1,0.2692369,,,,0.2692369,1.2003828,,,
1,1.1900553,,,,1.1900553,1.1265599,,,
1,0.352475,,,,0.352475,1.7100604,,,
1,0.3101335,,,,0.3101335,2.9740024,,,
1,0.3070614,,,,0.3070614,0.9341494,,,
1,1.1716544,,,,1.1716544,0.8607981,,,
1,0.5342722,,,,0.5342722,0.8136637,,,
1,1.1523018,,,,1.1523018,0.8403362,,,
1,0.3841159,,,,0.3841159,1.2240888,,,
1,1.9845398,,,,1.9845398,2.6430238,,,
1,3.6305269,,,,3.6305269,1.4888255,,,
1,0.3358026,,,,0.3358026,1.2432725,,,
1,0.3303121,,,,0.3303121,0.9239362,,,
1,0.5352746,,,,0.5352746,1.0841153,,,
1,0.3282726,,,,0.3282726,1.6764912,,,
1,0.3215654,,,,0.3215654,0.9231695,,,
1,0.3292296,,,,0.3292296,0.914995,,,
1,0.428678,,,,0.428678,1.1716427,,,
1,0.5078784,,,,0.5078784,1.3925714,,,
1,1.0029048,,,,1.0029048,1.6525203,,,
1,0.4903793,,,,0.4903793,1.8291067,,,
1,0.3244008,,,,0.3244008,2.0235907,,,
1,0.3174066,,,,0.3174066,2.0124918,,,
1,0.2956988,,,,0.2956988,2.3641191,,,
1,0.2812018,,,,0.2812018,2.0018517,,,
1,0.5917068,,,,0.5917068,1.2174201,,,
1,0.2990963,,,,0.2990963,1.611695,,,
1,0.8256881,,,,0.8256881,1.9739373,,,
1,0.6605568,,,,0.6605568,1.7268777,,,
1,0.7377916,,,,0.7377916,0.7658302,,,
1,0.4586914,,,,0.4586914,1.4990183,,,
1,0.4032868,,,,0.4032868,1.1858342,,,
1,0.5490618,,,,0.5490618,1.071967,,,
1,0.4006916,,,,0.4006916,1.8410694,,,
1,0.5851679,,,,0.5851679,1.4604156,,,
1,0.3573716,,,,0.3573716,1.0087138,,,
1,0.715749,,,,0.715749,1.5546333,,,
1,0.7375553,,,,0.7375553,0.9688539,,,
1,0.327993,,,,0.327993,1.0282006,,,
1,0.5261812,,,,0.5261812,2.6077209,,,
1,0.4593602,,,,0.4593602,2.7307542,,,
1,1.2808844,,,,1.2808844,1.1001037,,,
1,0.3234842,,,,0.3234842,2.7778913,,,
1,0.4033081,,,,0.4033081,0.8306645,,,
1,0.4702813,,,,0.4702813,0.8101974,,,
1,0.8833823,,,,0.8833823,0.7975749,,,
1,0.3595534,,,,0.3595534,2.0831067,,,
1,0.3499137,,,,0.3499137,0.910699,,,
1,0.1083207,,,,0.1083207,1.7561669,,,
1,0.4904783,,,,0.4904783,1.9616968,,,
1,0.3910702,,,,0.3910702,1.453732,,,
1,0.4492478,,,,0.4492478,1.3556644,,,
1,0.3560874,,,,0.3560874,1.7512668,,,
1,0.6365752,,,,0.6365752,1.2183578,,,
1,0.9777189,,,,0.9777189,1.5474467,,,
1,0.2910009,,,,0.2910009,1.8094919,,,
1,0.3370995,,,,0.3370995,1.1502488,,,
1,0.7604595,,,,0.7604595,1.4278176,,,
1,0.3552236,,,,0.3552236,1.0295307,,,
1,0.7211567,,,,0.7211567,1.0088107,,,
1,0.4105412,,,,0.4105412,2.2811842,,,
1,1.1097872,,,,1.1097872,2.2935165,,,
1,0.2986431,,,,0.2986431,1.2214493,,,
1,0.3499643,,,,0.3499643,1.1053191,,,
1,0.3815658,,,,0.3815658,1.127638,,,
1,0.4836429,,,,0.4836429,1.7847101,,,
1,0.3666277,,,,0.3666277,1.4549504,,,
1,0.3809154,,,,0.3809154,1.770847,,,
1,0.3104769,,,,0.3104769,1.6484016,,,
1,0.6412904,,,,0.6412904,1.1247973,,,
1,0.3677749,,,,0.3677749,1.5827643,,,
1,0.4474515,,,,0.4474515,1.1951203,,,
1,0.3234527,,,,0.3234527,0.8993656,,,
1,1.1224346,,,,1.1224346,1.0399073,,,
1,0.3241868,,,,0.3241868,0.8555579,,,
1,0.3592605,,,,0.3592605,1.0612179,,,
1,0.4650905,,,,0.4650905,2.2317876,,,
1,0.4672516,,,,0.4672516,1.7636506,,,
1,0.3384344,,,,0.3384344,1.22622,,,
1,0.8940803,,,,0.8940803,0.8837231,,,
1,0.386975,,,,0.386975,1.061534,,,
1,0.3923958,,,,0.3923958,1.44424,,,
1,0.3673877,,,,0.3673877,1.0827651,,,
1,0.6376192,,,,0.6376192,1.0453146,,,
1,0.1817446,,,,0.1817446,1.9876952,,,
1,0.8882339,,,,0.8882339,1.4577371,,,
1,1.1355009,,,,1.1355009,2.4620307,,,
1,2.606186,,,,2.606186,1.4682689,,,
1,0.3219511,,,,0.3219511,1.0726169,,,
1,0.8298877,,,,0.8298877,0.7733761,,,
1,0.6191279,,,,0.6191279,1.0734713,,,
1,1.0184958,,,,1.0184958,1.1107634,,,
1,0.4512277,,,,0.4512277,1.0344752,,,
1,0.9965749,,,,0.9965749,0.9188558,,,
1,0.7356909,,,,0.7356909,1.4608512,,,
1,0.474236,,,,0.474236,0.7137269,,,
1,0.3919966,,,,0.3919966,1.1545035,,,
1,0.4873577,,,,0.4873577,1.1352675,,,
1,2.1012608,,,,2.1012608,0.9806013,,,
1,0.3473592,,,,0.3473592,0.902753,,,
1,0.3126472,,,,0.3126472,0.8198631,,,
1,0.4016484,,,,0.4016484,0.8419424,,,
1,0.7032736,,,,0.7032736,1.0449401,,,
1,1.0239916,,,,1.0239916,0.8291562,,,
1,1.531156,,,,1.531156,1.0014261,,,
1,0.6568925,,,,0.6568925,1.9906181,,,
1,0.7833723,,,,0.7833723,,,,
1,0.6875335,,,,0.6875335,,,,
1,0.7929531,,,,0.7929531,,,,
1,4.1421092,,,,,,,,
1,1.658749,,,,0.578015406,1.380770806,,,
1,1.6113919,,,,,,,,
1,0.8814613,,,,,,,,
1,1.6589118,,,,,,,,
1,0.7442094,,,,,,,,
1,1.779003,,,,,,,,
1,0.6693446,,,,,,,,
1,0.8261659,,,,,,,,
1,0.7677746,,,,,,,,
1,1.67989,,,,,,,,
1,1.4453471,,,,,,,,
1,0.7920082,,,,,,,,
1,0.690192,,,,,,,,
1,0.7147995,,,,,,,,
1,0.7412015,,,,,,,,
1,0.5992968,,,,,,,,
1,1.3031861,,,,,,,,
1,1.0587853,,,,,,,,
1,1.4758673,,,,,,,,
1,1.3313702,,,,,,,,
1,0.5697683,,,,,,,,
1,0.8525354,,,,,,,,
1,1.5258309,,,,,,,,
1,0.826557,,,,,,,,
1,0.9710283,,,,,,,,
1,0.8574787,,,,,,,,
1,0.7690641,,,,,,,,
1,3.4303162,,,,,,,,
1,0.6948037,,,,,,,,
1,1.0097228,,,,,,,,
1,0.7473755,,,,,,,,
1,0.7707142,,,,,,,,
1,0.9038669,,,,,,,,
1,1.4748312,,,,,,,,
1,1.1941411,,,,,,,,
1,1.0457864,,,,,,,,
1,3.1560561,,,,,,,,
1,0.7626978,,,,,,,,
1,1.3670487,,,,,,,,
1,0.9862478,,,,,,,,
1,1.0575042,,,,,,,,
1,0.9277552,,,,,,,,
1,1.5833544,,,,,,,,
1,1.7359698,,,,,,,,
1,1.666407,,,,,,,,
1,0.9672487,,,,,,,,
1,1.6668308,,,,,,,,
1,1.5812285,,,,,,,,
1,1.0604458,,,,,,,,
1,0.8568471,,,,,,,,
1,1.7317216,,,,,,,,
1,0.9384415,,,,,,,,
1,1.9304684,,,,,,,,
1,0.9130282,,,,,,,,
1,0.8909739,,,,,,,,
1,1.9173706,,,,,,,,
1,1.1913476,,,,,,,,
1,1.2484719,,,,,,,,
1,0.9639225,,,,,,,,
1,1.0838629,,,,,,,,
1,1.0528248,,,,,,,,
1,2.8098851,,,,,,,,
1,0.9080845,,,,,,,,
1,1.2432493,,,,,,,,
1,0.8801265,,,,,,,,
1,1.3646672,,,,,,,,
1,1.1333782,,,,,,,,
1,1.036393,,,,,,,,
1,1.3186875,,,,,,,,
1,0.9664069,,,,,,,,
1,2.9138471,,,,,,,,
1,0.8388031,,,,,,,,
1,0.8894307,,,,,,,,
1,3.4423716,,,,,,,,
1,1.9396366,,,,,,,,
1,1.3742197,,,,,,,,
1,0.9615631,,,,,,,,
1,0.8076953,,,,,,,,
1,6.4266359,,,,,,,,
1,1.977452,,,,,,,,
1,2.0075146,,,,,,,,
1,2.2439208,,,,,,,,
1,0.8317577,,,,,,,,
1,1.7389957,,,,,,,,
1,0.8800764,,,,,,,,
1,1.1789869,,,,,,,,
1,1.8684671,,,,,,,,
1,0.9154039,,,,,,,,
1,1.0195813,,,,,,,,
1,1.1575529,,,,,,,,
1,1.2003828,,,,,,,,
1,1.1265599,,,,,,,,
1,1.7100604,,,,,,,,
1,2.9740024,,,,,,,,
1,0.9341494,,,,,,,,
1,0.8607981,,,,,,,,
1,0.8136637,,,,,,,,
1,0.8403362,,,,,,,,
1,1.2240888,,,,,,,,
1,2.6430238,,,,,,,,
1,1.4888255,,,,,,,,
1,1.2432725,,,,,,,,
1,0.9239362,,,,,,,,
1,1.0841153,,,,,,,,
1,1.6764912,,,,,,,,
1,0.9231695,,,,,,,,
1,0.914995,,,,,,,,
1,1.1716427,,,,,,,,
1,1.3925714,,,,,,,,
1,1.6525203,,,,,,,,
1,1.8291067,,,,,,,,
1,2.0235907,,,,,,,,
1,2.0124918,,,,,,,,
1,2.3641191,,,,,,,,
1,2.0018517,,,,,,,,
1,1.2174201,,,,,,,,
1,1.611695,,,,,,,,
1,1.9739373,,,,,,,,
1,1.7268777,,,,,,,,
1,0.7658302,,,,,,,,
1,1.4990183,,,,,,,,
1,1.1858342,,,,,,,,
1,1.071967,,,,,,,,
1,1.8410694,,,,,,,,
1,1.4604156,,,,,,,,
1,1.0087138,,,,,,,,
1,1.5546333,,,,,,,,
1,0.9688539,,,,,,,,
1,1.0282006,,,,,,,,
1,2.6077209,,,,,,,,
1,2.7307542,,,,,,,,
1,1.1001037,,,,,,,,
1,2.7778913,,,,,,,,
1,0.8306645,,,,,,,,
1,0.8101974,,,,,,,,
1,0.7975749,,,,,,,,
1,2.0831067,,,,,,,,
1,0.910699,,,,,,,,
1,1.7561669,,,,,,,,
1,1.9616968,,,,,,,,
1,1.453732,,,,,,,,
1,1.3556644,,,,,,,,
1,1.7512668,,,,,,,,
1,1.2183578,,,,,,,,
1,1.5474467,,,,,,,,
1,1.8094919,,,,,,,,
1,1.1502488,,,,,,,,
1,1.4278176,,,,,,,,
1,1.0295307,,,,,,,,
1,1.0088107,,,,,,,,
1,2.2811842,,,,,,,,
1,2.2935165,,,,,,,,
1,1.2214493,,,,,,,,
1,1.1053191,,,,,,,,
1,1.127638,,,,,,,,
1,1.7847101,,,,,,,,
1,1.4549504,,,,,,,,
1,1.770847,,,,,,,,
1,1.6484016,,,,,,,,
1,1.1247973,,,,,,,,
1,1.5827643,,,,,,,,
1,1.1951203,,,,,,,,
1,0.8993656,,,,,,,,
1,1.0399073,,,,,,,,
1,0.8555579,,,,,,,,
1,1.0612179,,,,,,,,
1,2.2317876,,,,,,,,
1,1.7636506,,,,,,,,
1,1.22622,,,,,,,,
1,0.8837231,,,,,,,,
1,1.061534,,,,,,,,
1,1.44424,,,,,,,,
1,1.0827651,,,,,,,,
1,1.0453146,,,,,,,,
1,1.9876952,,,,,,,,
1,1.4577371,,,,,,,,
1,2.4620307,,,,,,,,
1,1.4682689,,,,,,,,
1,1.0726169,,,,,,,,
1,0.7733761,,,,,,,,
1,1.0734713,,,,,,,,
1,1.1107634,,,,,,,,
1,1.0344752,,,,,,,,
1,0.9188558,,,,,,,,
1,1.4608512,,,,,,,,
1,0.7137269,,,,,,,,
1,1.1545035,,,,,,,,
1,1.1352675,,,,,,,,
1,0.9806013,,,,,,,,
1,0.902753,,,,,,,,
1,0.8198631,,,,,,,,
1,0.8419424,,,,,,,,
1,1.0449401,,,,,,,,
1,0.8291562,,,,,,,,
1,1.0014261,,,,,,,,
1,1.9906181,,,,,,,,
